,id,genero,titulo,tipo,fecha
0,tt0062336,drama,El Tango del Viudo y Su Espejo Deformante,Movie,2-2020
1,tt0383477,drama,Love & Orgasms,Movie,7-2020
2,tt0425118,drama,I Know This Much Is True,TV Series,5-2020
3,tt0446792,drama,Surviving in L.A.,Movie,8-2020
4,tt0849437,drama,Duel of Legends,Movie,8-2020
5,tt0920462,drama,Lost Girls and Love Hotels,Movie,9-2020
6,tt10001184,drama,"""Gallavich!""",TV Episode,1-2020
7,tt10004744,drama,Chapter One: The Singing Bones,TV Episode,2-2020
8,tt10006418,drama,Avocado Toast the series,TV Series,5-2020
9,tt10004704,drama,Hiving the Bees,TV Episode,11-2020
10,tt0177220,drama,Shulie,Short,4-2015
12,tt0337926,drama,Chatô: O Rei do Brasil,Movie,11-2015
13,tt0346045,drama,Transeúntes,Movie,4-2015
15,tt0420293,drama,The Stanford Prison Experiment,Movie,7-2015
16,tt0462335,drama,High-Rise,Movie,6-2015
17,tt0787524,drama,The Man Who Knew Infinity,Movie,7-2015
18,tt0790770,drama,Miles Ahead,Movie,4-2015
19,tt0810819,drama,The Danish Girl,Movie,1-2015
20,tt0146592,drama,Pál Adrienn,Movie,6-2010
21,tt0154039,drama,Oda az igazság,Movie,2-2010
22,tt0162942,drama,A zöld sárkány gyermekei,Movie,4-2010
23,tt0200641,drama,Flexing with Monty,Video,1-2010
24,tt0230212,drama,The Final Journey,Movie,9-2010
25,tt0326965,drama,In My Sleep,Movie,4-2010
26,tt0331312,drama,This Wretched Life,Movie,7-2010
28,tt0370451,drama,Death of a Nation,Short,6-2010
29,tt0374463,drama,The Pacific,TV Mini Series,4-2010
30,tt0118141,drama,What Is It?,Movie,1-2005
31,tt0121164,drama,Corpse Bride,Movie,11-2005
32,tt0135986,drama,Mort,Video,10-2005
33,tt0146272,drama,Shooting Vegetarians,Movie,2-2005
34,tt0160706,drama,The Prodigy,Movie,4-2005
38,tt0196155,drama,Thousands of Miles,Movie,1-2005
39,tt0195565,drama,Death-Defying Acts,Movie,5-2005
41,tt0111056,drama,Gensomaden Saiyuki,TV Series,4-2000
42,tt0113092,drama,For the Cause,Movie,5-2000
43,tt0113086,drama,Florentino y el diablo,Movie,4-2000
44,tt0116748,drama,Karobaar: The Business of Love,Movie,9-2000
45,tt0115874,drama,Chateaubriand - Cabeça de Paraíba,Short,12-2000
46,tt0116391,drama,Gang,Movie,4-2000
